config,batch,in_features,out_features,weight_mb,runtime,mean_abs_error,fp32_size_kb,int8_size_kb,gpu
4Kx4K (b=1),1,4096,4096,64,ONNX FP32 CPU,0.00001786,,,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,ONNX FP32 GPU,0.00001661,,,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,ONNX INT8 CPU,0.74671340,65552.2,16400.9,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,ONNX FP32 CPU,0.00001845,,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,ONNX FP32 GPU,0.00001716,,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,ONNX INT8 CPU,0.74912858,176171.2,44075.9,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,ONNX FP32 CPU,0.00002940,,,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,ONNX FP32 GPU,0.00003294,,,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,ONNX INT8 CPU,1.10242033,262176.2,65568.9,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,ONNX FP32 CPU,0.00001922,,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,ONNX FP32 GPU,0.01492858,,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,ONNX INT8 CPU,0.82851005,176171.2,44075.9,NVIDIA RTX A3000 Laptop GPU
